Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Segment,Region,Category,Unit_Price,Quantity,Discount,Sales,Profit,Profit_Margin,Payment_Method,Year,Month,Quarter,Discount_Bucket
ORD-100017,2023-01-01,2023-01-01,Same-Day,CUST-15008,Corporate,North,Home & Furniture,404.98,7,0.28,2041.1,296.1,0.1451,Debit Card,2023,1,Q1,High (21-30%)
ORD-100018,2024-02-05,2024-02-08,Express,CUST-26010,Corporate,East,Sports & Outdoor,234.77,1,0.11,208.95,56.7,0.2714,Credit Card,2024,2,Q1,Medium (11-20%)
ORD-100019,2022-02-09,2022-02-09,Same-Day,CUST-38770,Small Business,South,Electronics,1355.63,2,0.05,2575.7,494.94,0.1922,Credit Card,2022,2,Q1,Low (1-10%)
ORD-100020,2022-06-11,2022-06-13,Express,CUST-31618,Consumer,South,Electronics,807.29,3,0.2,1937.5,167.03,0.0862,Net Banking,2022,6,Q2,Medium (11-20%)
ORD-100021,2024-08-31,2024-09-04,Express,CUST-34748,Corporate,North,Toys & Games,112.71,2,0.25,169.06,47.06,0.2784,COD,2024,8,Q3,High (21-30%)
ORD-100022,2023-02-16,2023-02-22,Standard,CUST-13965,Corporate,South,Sports & Outdoor,71.76,4,0.04,275.56,94.18,0.3418,Wallet,2023,2,Q1,Low (1-10%)
ORD-100023,2023-05-23,2023-05-28,Standard,CUST-33194,Corporate,South,Clothing,93.76,1,0.02,91.88,39.19,0.4265,Credit Card,2023,5,Q2,Low (1-10%)
ORD-100024,2022-05-01,2022-05-08,Standard,CUST-25906,Home Office,West,Clothing,31.25,4,0.27,91.25,20.21,0.2215,Credit Card,2022,5,Q2,High (21-30%)
ORD-100025,2023-03-15,2023-03-18,Express,CUST-36460,Home Office,East,Home & Furniture,604.13,2,0.1,1087.43,285.71,0.2627,Credit Card,2023,3,Q1,Low (1-10%)
ORD-100026,2024-04-13,2024-04-20,Standard,CUST-11775,Consumer,North,Electronics,971.67,1,0.19,787.05,46.29,0.0588,Debit Card,2024,4,Q2,Medium (11-20%)
ORD-100027,2022-07-21,2022-07-28,Standard,CUST-24700,Home Office,East,Electronics,1269.56,1,0.03,1231.47,201.05,0.1633,Credit Card,2022,7,Q3,Low (1-10%)
ORD-100028,2022-10-15,2022-10-18,Overnight,CUST-13208,Consumer,North,Home & Furniture,225.0,7,0.17,1307.25,300.94,0.2302,Debit Card,2022,10,Q4,Medium (11-20%)
ORD-100029,2022-04-14,2022-04-19,Standard,CUST-15449,Consumer,East,Beauty & Health,123.62,1,0.29,87.77,34.87,0.3973,Net Banking,2022,4,Q2,High (21-30%)
ORD-100030,2024-04-12,2024-04-18,Standard,CUST-18690,Consumer,North,Home & Furniture,696.72,1,0.1,627.05,157.73,0.2515,Debit Card,2024,4,Q2,Low (1-10%)
ORD-100031,2024-07-20,2024-07-21,Same-Day,CUST-15072,Corporate,East,Clothing,136.62,1,0.29,97.0,23.93,0.2467,UPI,2024,7,Q3,High (21-30%)
ORD-100032,2023-01-24,2023-01-26,Express,CUST-11643,Corporate,West,Clothing,112.75,2,0.22,175.89,51.59,0.2933,Net Banking,2023,1,Q1,High (21-30%)
ORD-100033,2024-09-03,2024-09-04,Overnight,CUST-12245,Consumer,West,Home & Furniture,395.69,1,0.15,336.34,69.81,0.2076,Credit Card,2024,9,Q3,Medium (11-20%)
ORD-100034,2022-05-20,2022-05-22,Same-Day,CUST-11302,Consumer,North,Beauty & Health,13.58,1,0.09,12.36,6.18,0.4999,Credit Card,2022,5,Q2,Low (1-10%)
ORD-100035,2022-06-17,2022-06-20,Overnight,CUST-20295,Corporate,East,Clothing,116.28,1,0.3,81.4,19.57,0.2405,Credit Card,2022,6,Q2,High (21-30%)
ORD-100036,2023-05-04,2023-05-09,Standard,CUST-10305,Corporate,North,Clothing,75.93,1,0.23,58.47,19.4,0.3318,Wallet,2023,5,Q2,High (21-30%)
ORD-100037,2024-07-27,2024-07-29,Express,CUST-21436,Consumer,East,Beauty & Health,25.63,1,0.18,21.02,9.53,0.4533,Debit Card,2024,7,Q3,Medium (11-20%)
ORD-100038,2022-05-21,2022-05-23,Same-Day,CUST-36447,Consumer,South,Books & Media,36.03,1,0.36,23.06,5.08,0.2202,UPI,2022,5,Q2,Very High (31%+)
ORD-100039,2024-12-19,2024-12-21,Express,CUST-18666,Consumer,West,Electronics,936.18,1,0.08,861.29,110.37,0.1281,COD,2024,12,Q4,Low (1-10%)
ORD-100040,2022-08-25,2022-08-31,Standard,CUST-16671,Consumer,East,Books & Media,40.62,4,0.09,147.86,48.47,0.3278,Credit Card,2022,8,Q3,Low (1-10%)
ORD-100041,2023-06-25,2023-07-01,Standard,CUST-11444,Home Office,North,Home & Furniture,922.97,1,0.04,886.05,265.09,0.2992,UPI,2023,6,Q2,Low (1-10%)
ORD-100042,2022-01-08,2022-01-15,Standard,CUST-24014,Small Business,North,Clothing,172.13,1,0.14,148.03,50.66,0.3422,Debit Card,2022,1,Q1,Medium (11-20%)
ORD-100043,2022-01-20,2022-01-26,Standard,CUST-29087,Corporate,West,Electronics,1383.75,4,0.08,5092.2,727.47,0.1429,Credit Card,2022,1,Q1,Low (1-10%)
ORD-100044,2022-10-31,2022-11-01,Overnight,CUST-39455,Consumer,North,Home & Furniture,773.28,1,0.34,510.36,35.41,0.0694,COD,2022,10,Q4,Very High (31%+)
ORD-100045,2024-01-03,2024-01-04,Same-Day,CUST-30337,Consumer,North,Electronics,723.28,4,0.37,1822.67,18.23,0.01,Wallet,2024,1,Q1,Very High (31%+)
ORD-100046,2022-11-13,2022-11-14,Same-Day,CUST-10812,Consumer,North,Toys & Games,177.14,6,0.38,658.96,127.58,0.1936,Credit Card,2022,11,Q4,Very High (31%+)
ORD-100047,2023-01-03,2023-01-03,Same-Day,CUST-18742,Small Business,South,Sports & Outdoor,406.23,2,0.02,796.21,287.53,0.3611,Wallet,2023,1,Q1,Low (1-10%)
ORD-100048,2022-11-23,2022-11-24,Same-Day,CUST-21457,Home Office,North,Sports & Outdoor,373.51,2,0.45,410.86,54.69,0.1331,Credit Card,2022,11,Q4,Very High (31%+)
ORD-100049,2023-09-18,2023-09-21,Express,CUST-38323,Consumer,West,Books & Media,26.17,1,0.14,22.51,6.37,0.283,Debit Card,2023,9,Q3,Medium (11-20%)
ORD-100050,2022-05-23,2022-05-30,Standard,CUST-20851,Corporate,North,Groceries,72.87,1,0.11,64.85,9.06,0.1397,COD,2022,5,Q2,Medium (11-20%)
ORD-100051,2022-02-26,2022-02-27,Overnight,CUST-29548,Consumer,West,Electronics,1700.52,1,0.36,1088.33,10.88,0.01,Credit Card,2022,2,Q1,Very High (31%+)
ORD-100052,2024-06-08,2024-06-11,Overnight,CUST-16228,Consumer,West,Clothing,26.17,1,0.24,19.89,4.63,0.2326,Credit Card,2024,6,Q2,High (21-30%)
ORD-100053,2023-06-06,2023-06-08,Same-Day,CUST-34151,Corporate,South,Electronics,1213.98,6,0.11,6482.65,930.29,0.1435,UPI,2023,6,Q2,Medium (11-20%)
ORD-100054,2023-02-08,2023-02-13,Standard,CUST-33584,Corporate,North,Clothing,29.51,6,0.44,99.15,19.04,0.192,Credit Card,2023,2,Q1,Very High (31%+)
ORD-100055,2023-09-08,2023-09-10,Express,CUST-23777,Consumer,East,Home & Furniture,801.28,1,0.09,729.16,183.21,0.2513,UPI,2023,9,Q3,Low (1-10%)
ORD-100056,2024-02-16,2024-02-21,Standard,CUST-19957,Corporate,West,Beauty & Health,53.73,1,0.14,46.21,23.58,0.5103,UPI,2024,2,Q1,Medium (11-20%)
ORD-100057,2023-08-11,2023-08-18,Standard,CUST-17002,Corporate,West,Electronics,1638.8,1,0.14,1409.37,147.79,0.1049,Debit Card,2023,8,Q3,Medium (11-20%)
ORD-100058,2024-11-12,2024-11-19,Standard,CUST-31753,Home Office,West,Home & Furniture,437.11,5,0.23,1682.87,243.95,0.145,Credit Card,2024,11,Q4,High (21-30%)
ORD-100059,2023-11-18,2023-11-23,Standard,CUST-10800,Consumer,West,Electronics,316.09,4,0.37,796.55,7.97,0.01,Net Banking,2023,11,Q4,Very High (31%+)
ORD-100060,2022-04-05,2022-04-12,Standard,CUST-28863,Home Office,South,Clothing,35.68,1,0.01,35.32,16.26,0.4602,Debit Card,2022,4,Q2,Low (1-10%)
ORD-100061,2023-02-03,2023-02-08,Standard,CUST-35507,Consumer,South,Sports & Outdoor,70.05,1,0.09,63.75,20.83,0.3268,UPI,2023,2,Q1,Low (1-10%)
ORD-100062,2024-05-20,2024-05-25,Standard,CUST-24957,Corporate,West,Electronics,780.69,1,0.1,702.62,102.82,0.1463,UPI,2024,5,Q2,Low (1-10%)
ORD-100063,2022-10-01,2022-10-04,Express,CUST-30075,Small Business,East,Sports & Outdoor,81.3,1,0.01,80.49,28.17,0.35,COD,2022,10,Q4,Low (1-10%)
ORD-100064,2024-10-30,2024-11-05,Standard,CUST-18493,Consumer,West,Home & Furniture,792.63,2,0.1,1426.73,356.42,0.2498,Wallet,2024,10,Q4,Low (1-10%)
ORD-100065,2023-05-22,2023-05-28,Standard,CUST-12538,Corporate,North,Books & Media,25.26,1,0.25,18.95,4.64,0.2446,Credit Card,2023,5,Q2,High (21-30%)
ORD-100066,2023-08-09,2023-08-15,Standard,CUST-32739,Home Office,South,Clothing,152.79,2,0.1,275.02,92.28,0.3355,Credit Card,2023,8,Q3,Low (1-10%)
ORD-100067,2022-11-09,2022-11-11,Express,CUST-37292,Consumer,North,Sports & Outdoor,65.15,1,0.15,55.38,10.61,0.1915,Debit Card,2022,11,Q4,Medium (11-20%)
ORD-100068,2024-05-10,2024-05-17,Standard,CUST-22464,Small Business,East,Clothing,22.79,2,0.28,32.82,7.73,0.2356,Wallet,2024,5,Q2,High (21-30%)
ORD-100069,2024-09-03,2024-09-04,Same-Day,CUST-27636,Corporate,South,Electronics,788.36,1,0.03,764.71,101.22,0.1324,COD,2024,9,Q3,Low (1-10%)
ORD-100070,2023-03-28,2023-04-03,Standard,CUST-33729,Corporate,North,Home & Furniture,524.32,1,0.45,288.38,9.92,0.0344,UPI,2023,3,Q1,Very High (31%+)
ORD-100071,2022-12-05,2022-12-09,Express,CUST-28493,Small Business,West,Books & Media,24.71,1,0.19,20.02,5.87,0.2933,Wallet,2022,12,Q4,Medium (11-20%)
ORD-100072,2022-02-25,2022-03-03,Standard,CUST-16935,Home Office,South,Electronics,1151.25,1,0.36,736.8,7.37,0.01,Credit Card,2022,2,Q1,Very High (31%+)
ORD-100073,2024-07-20,2024-07-23,Express,CUST-37358,Consumer,East,Clothing,78.28,1,0.07,72.8,27.8,0.3818,Wallet,2024,7,Q3,Low (1-10%)
ORD-100074,2022-06-17,2022-06-18,Overnight,CUST-35599,Consumer,East,Home & Furniture,134.74,1,0.11,119.92,20.26,0.1689,Credit Card,2022,6,Q2,Medium (11-20%)
ORD-100075,2022-03-24,2022-03-29,Standard,CUST-25517,Consumer,West,Sports & Outdoor,476.38,1,0.2,381.1,90.78,0.2382,Credit Card,2022,3,Q1,Medium (11-20%)
ORD-100076,2022-08-23,2022-08-27,Express,CUST-34508,Corporate,North,Home & Furniture,213.33,5,0.33,714.66,67.94,0.0951,Credit Card,2022,8,Q3,Very High (31%+)
ORD-100077,2022-08-23,2022-08-27,Express,CUST-32195,Consumer,North,Sports & Outdoor,222.44,1,0.08,204.64,66.7,0.3259,Wallet,2022,8,Q3,Low (1-10%)
ORD-100078,2024-02-08,2024-02-10,Express,CUST-32845,Consumer,East,Clothing,41.61,1,0.13,36.2,11.73,0.3239,UPI,2024,2,Q1,Medium (11-20%)
ORD-100079,2023-09-10,2023-09-12,Overnight,CUST-27456,Consumer,East,Books & Media,44.9,2,0.37,56.57,7.19,0.127,Net Banking,2023,9,Q3,Very High (31%+)
ORD-100080,2024-05-27,2024-06-02,Standard,CUST-13458,Corporate,North,Beauty & Health,114.19,1,0.15,97.06,46.07,0.4746,Debit Card,2024,5,Q2,Medium (11-20%)
ORD-100081,2024-06-06,2024-06-10,Express,CUST-27096,Home Office,East,Groceries,67.18,3,0.36,128.99,1.29,0.01,Debit Card,2024,6,Q2,Very High (31%+)
ORD-100082,2023-07-08,2023-07-15,Standard,CUST-18794,Corporate,West,Beauty & Health,92.62,1,0.08,85.21,41.05,0.4817,Net Banking,2023,7,Q3,Low (1-10%)
ORD-100083,2023-10-23,2023-10-24,Same-Day,CUST-28672,Consumer,West,Books & Media,24.76,1,0.01,24.51,9.77,0.3987,Credit Card,2023,10,Q4,Low (1-10%)
ORD-100084,2024-02-16,2024-02-22,Standard,CUST-21152,Consumer,South,Clothing,156.62,1,0.13,136.26,48.68,0.3573,Debit Card,2024,2,Q1,Medium (11-20%)
ORD-100085,2023-07-27,2023-08-01,Standard,CUST-17908,Consumer,East,Books & Media,36.76,3,0.38,68.37,8.72,0.1275,COD,2023,7,Q3,Very High (31%+)
ORD-100086,2024-04-12,2024-04-14,Express,CUST-13049,Corporate,East,Home & Furniture,80.39,3,0.08,221.88,66.7,0.3006,Debit Card,2024,4,Q2,Low (1-10%)
ORD-100087,2023-08-26,2023-08-30,Express,CUST-21264,Consumer,East,Clothing,39.82,2,0.06,74.86,31.01,0.4143,Debit Card,2023,8,Q3,Low (1-10%)
ORD-100088,2024-05-21,2024-05-26,Standard,CUST-13953,Consumer,East,Groceries,21.95,1,0.12,19.32,2.96,0.1534,Credit Card,2024,5,Q2,Medium (11-20%)
ORD-100089,2023-01-30,2023-02-03,Express,CUST-25866,Small Business,East,Clothing,113.61,4,0.32,309.02,72.78,0.2355,Credit Card,2023,1,Q1,Very High (31%+)
ORD-100090,2023-07-21,2023-07-26,Standard,CUST-19707,Corporate,West,Sports & Outdoor,314.39,2,0.04,603.63,210.93,0.3494,Credit Card,2023,7,Q3,Low (1-10%)
ORD-100091,2023-04-11,2023-04-16,Standard,CUST-28132,Corporate,South,Clothing,172.5,1,0.42,100.05,20.02,0.2001,Credit Card,2023,4,Q2,Very High (31%+)
ORD-100092,2023-08-22,2023-08-29,Standard,CUST-19317,Home Office,North,Beauty & Health,9.05,1,0.08,8.33,4.34,0.5208,Wallet,2023,8,Q3,Low (1-10%)
ORD-100093,2024-08-19,2024-08-24,Standard,CUST-36939,Small Business,South,Home & Furniture,632.29,1,0.04,607.0,188.25,0.3101,Wallet,2024,8,Q3,Low (1-10%)
ORD-100094,2022-05-14,2022-05-21,Standard,CUST-19956,Corporate,North,Clothing,81.43,2,0.16,136.8,46.44,0.3395,Credit Card,2022,5,Q2,Medium (11-20%)
ORD-100095,2022-06-24,2022-06-26,Express,CUST-35417,Corporate,North,Groceries,14.56,1,0.13,12.67,1.5,0.1185,Net Banking,2022,6,Q2,Medium (11-20%)
ORD-100096,2024-12-06,2024-12-10,Express,CUST-30349,Consumer,West,Clothing,177.37,1,0.18,145.44,40.55,0.2788,Debit Card,2024,12,Q4,Medium (11-20%)
ORD-100097,2022-05-04,2022-05-11,Standard,CUST-12660,Small Business,East,Beauty & Health,97.25,1,0.01,96.28,53.21,0.5527,Credit Card,2022,5,Q2,Low (1-10%)
ORD-100098,2022-11-18,2022-11-24,Standard,CUST-19543,Consumer,East,Clothing,174.01,1,0.19,140.95,42.84,0.3039,UPI,2022,11,Q4,Medium (11-20%)
ORD-100099,2022-03-08,2022-03-14,Standard,CUST-35815,Corporate,East,Clothing,139.31,1,0.09,126.77,46.77,0.369,UPI,2022,3,Q1,Low (1-10%)
ORD-100100,2023-02-10,2023-02-11,Overnight,CUST-11954,Corporate,East,Home & Furniture,209.94,1,0.09,191.05,43.52,0.2278,Net Banking,2023,2,Q1,Low (1-10%)
ORD-100101,2022-12-06,2022-12-08,Overnight,CUST-32566,Home Office,East,Sports & Outdoor,385.18,3,0.17,959.1,189.81,0.1979,Debit Card,2022,12,Q4,Medium (11-20%)
ORD-100102,2023-09-15,2023-09-20,Standard,CUST-39144,Corporate,West,Beauty & Health,124.78,1,0.27,91.09,30.55,0.3354,Credit Card,2023,9,Q3,High (21-30%)
ORD-100103,2024-06-03,2024-06-10,Standard,CUST-29238,Consumer,East,Sports & Outdoor,296.26,1,0.06,278.48,87.18,0.3131,UPI,2024,6,Q2,Low (1-10%)
ORD-100104,2022-02-12,2022-02-18,Standard,CUST-27005,Consumer,East,Groceries,34.49,1,0.36,22.07,0.22,0.01,Net Banking,2022,2,Q1,Very High (31%+)
ORD-100105,2024-06-24,2024-06-26,Express,CUST-25401,Corporate,North,Toys & Games,63.47,4,0.24,192.95,60.31,0.3126,Debit Card,2024,6,Q2,High (21-30%)
ORD-100106,2023-12-14,2023-12-20,Standard,CUST-19444,Consumer,South,Clothing,118.93,1,0.3,83.25,19.59,0.2353,Debit Card,2023,12,Q4,High (21-30%)
ORD-100107,2024-03-31,2024-04-06,Standard,CUST-38341,Consumer,East,Sports & Outdoor,193.83,1,0.25,145.37,29.94,0.206,Debit Card,2024,3,Q1,High (21-30%)
ORD-100108,2024-11-19,2024-11-26,Standard,CUST-21854,Home Office,North,Books & Media,19.75,1,0.45,10.86,1.87,0.1724,Credit Card,2024,11,Q4,Very High (31%+)
ORD-100109,2024-10-17,2024-10-20,Express,CUST-38863,Consumer,East,Beauty & Health,119.02,1,0.08,109.5,49.98,0.4564,Wallet,2024,10,Q4,Low (1-10%)
ORD-100110,2024-09-19,2024-09-26,Standard,CUST-10448,Corporate,West,Electronics,954.75,1,0.09,868.82,160.95,0.1853,Credit Card,2024,9,Q3,Low (1-10%)
ORD-100111,2024-04-15,2024-04-20,Standard,CUST-26330,Small Business,West,Electronics,834.28,3,0.18,2052.33,205.0,0.0999,Credit Card,2024,4,Q2,Medium (11-20%)
ORD-100112,2023-08-21,2023-08-24,Overnight,CUST-14739,Home Office,North,Home & Furniture,368.6,5,0.08,1695.56,485.78,0.2865,Credit Card,2023,8,Q3,Low (1-10%)
ORD-100113,2024-02-25,2024-03-02,Standard,CUST-21137,Corporate,East,Electronics,1107.98,3,0.32,2260.28,22.6,0.01,Credit Card,2024,2,Q1,Very High (31%+)
ORD-100114,2024-11-05,2024-11-07,Same-Day,CUST-26044,Corporate,North,Clothing,175.94,3,0.29,374.75,97.21,0.2594,UPI,2024,11,Q4,High (21-30%)
ORD-100115,2022-11-01,2022-11-04,Express,CUST-38495,Consumer,South,Home & Furniture,858.45,1,0.2,686.76,148.75,0.2166,Debit Card,2022,11,Q4,Medium (11-20%)
ORD-100116,2023-01-22,2023-01-23,Same-Day,CUST-34402,Consumer,North,Groceries,5.33,1,0.03,5.17,1.11,0.2144,Debit Card,2023,1,Q1,Low (1-10%)
ORD-100117,2024-08-26,2024-08-28,Express,CUST-26230,Consumer,West,Sports & Outdoor,397.05,2,0.02,778.22,279.69,0.3594,Net Banking,2024,8,Q3,Low (1-10%)
ORD-100118,2022-03-17,2022-03-22,Standard,CUST-27234,Consumer,West,Electronics,1454.92,1,0.16,1222.13,12.22,0.01,Wallet,2022,3,Q1,Medium (11-20%)
ORD-100119,2024-07-24,2024-07-26,Overnight,CUST-21093,Home Office,North,Electronics,1511.35,2,0.03,2932.02,448.57,0.153,Credit Card,2024,7,Q3,Low (1-10%)
ORD-100120,2024-03-25,2024-03-26,Same-Day,CUST-30538,Home Office,West,Beauty & Health,44.07,1,0.13,38.34,16.71,0.4358,Debit Card,2024,3,Q1,Medium (11-20%)
ORD-100121,2024-09-26,2024-09-28,Express,CUST-34470,Consumer,North,Books & Media,19.19,3,0.15,48.93,17.58,0.3593,Wallet,2024,9,Q3,Medium (11-20%)
ORD-100122,2022-07-05,2022-07-07,Same-Day,CUST-19812,Corporate,North,Home & Furniture,216.39,1,0.05,205.57,67.56,0.3286,Debit Card,2022,7,Q3,Low (1-10%)
ORD-100123,2022-03-01,2022-03-08,Standard,CUST-23502,Consumer,West,Electronics,540.66,1,0.24,410.9,10.19,0.0248,Credit Card,2022,3,Q1,High (21-30%)
ORD-100124,2023-01-04,2023-01-08,Express,CUST-14689,Home Office,North,Electronics,1304.57,1,0.05,1239.34,159.74,0.1289,Credit Card,2023,1,Q1,Low (1-10%)
ORD-100125,2023-04-21,2023-04-27,Standard,CUST-32203,Consumer,North,Home & Furniture,602.02,1,0.08,553.86,154.14,0.2783,Net Banking,2023,4,Q2,Low (1-10%)
ORD-100126,2022-11-20,2022-11-27,Standard,CUST-18195,Small Business,West,Electronics,982.6,1,0.28,707.47,7.07,0.01,COD,2022,11,Q4,High (21-30%)
ORD-100127,2024-07-24,2024-07-31,Standard,CUST-21762,Consumer,North,Books & Media,9.93,2,0.07,18.47,6.82,0.3693,Credit Card,2024,7,Q3,Low (1-10%)
ORD-100128,2023-08-29,2023-09-02,Express,CUST-38346,Small Business,South,Groceries,42.35,4,0.15,143.99,22.26,0.1546,Credit Card,2023,8,Q3,Medium (11-20%)
ORD-100129,2022-04-11,2022-04-12,Overnight,CUST-29892,Home Office,East,Toys & Games,149.44,2,0.2,239.1,77.56,0.3244,Net Banking,2022,4,Q2,Medium (11-20%)
ORD-100130,2023-12-23,2023-12-27,Express,CUST-37470,Consumer,North,Electronics,1216.1,5,0.21,4803.6,286.93,0.0597,Net Banking,2023,12,Q4,High (21-30%)
ORD-100131,2022-10-08,2022-10-15,Standard,CUST-21955,Corporate,West,Beauty & Health,86.1,2,0.15,146.37,68.29,0.4666,Debit Card,2022,10,Q4,Medium (11-20%)
ORD-100132,2022-09-27,2022-10-04,Standard,CUST-38719,Corporate,South,Electronics,887.77,1,0.19,719.09,37.83,0.0526,Credit Card,2022,9,Q3,Medium (11-20%)
ORD-100133,2024-01-20,2024-01-26,Standard,CUST-36427,Home Office,West,Home & Furniture,348.5,1,0.11,310.17,61.51,0.1983,Net Banking,2024,1,Q1,Medium (11-20%)
ORD-100134,2023-08-28,2023-08-29,Overnight,CUST-38185,Consumer,South,Sports & Outdoor,389.28,7,0.12,2397.96,779.25,0.325,Credit Card,2023,8,Q3,Medium (11-20%)
ORD-100135,2024-03-24,2024-03-26,Same-Day,CUST-14049,Consumer,West,Groceries,61.6,1,0.2,49.28,1.68,0.034,Credit Card,2024,3,Q1,Medium (11-20%)
ORD-100136,2024-07-20,2024-07-26,Standard,CUST-13550,Consumer,East,Clothing,153.44,1,0.19,124.29,40.46,0.3255,UPI,2024,7,Q3,Medium (11-20%)
ORD-100137,2023-04-24,2023-05-01,Standard,CUST-12071,Small Business,East,Home & Furniture,423.73,1,0.12,372.88,91.47,0.2453,UPI,2023,4,Q2,Medium (11-20%)
ORD-100138,2024-08-08,2024-08-14,Standard,CUST-26142,Consumer,South,Toys & Games,49.02,1,0.02,48.04,21.06,0.4383,COD,2024,8,Q3,Low (1-10%)
ORD-100139,2022-08-26,2022-09-02,Standard,CUST-32822,Consumer,West,Electronics,1391.73,3,0.17,3465.41,344.01,0.0993,UPI,2022,8,Q3,Medium (11-20%)
ORD-100140,2024-05-08,2024-05-12,Express,CUST-23373,Home Office,East,Beauty & Health,61.35,1,0.04,58.9,31.21,0.5298,Wallet,2024,5,Q2,Low (1-10%)
ORD-100141,2023-07-27,2023-07-28,Overnight,CUST-32468,Consumer,South,Electronics,531.12,1,0.08,488.63,28.97,0.0593,Wallet,2023,7,Q3,Low (1-10%)
ORD-100142,2024-01-23,2024-01-28,Standard,CUST-37788,Consumer,West,Home & Furniture,339.03,4,0.05,1288.31,360.59,0.2799,Credit Card,2024,1,Q1,Low (1-10%)
ORD-100143,2024-07-20,2024-07-22,Overnight,CUST-17981,Corporate,North,Electronics,1104.73,1,0.04,1060.54,100.48,0.0947,Credit Card,2024,7,Q3,Low (1-10%)
ORD-100144,2022-09-15,2022-09-17,Express,CUST-20766,Home Office,North,Sports & Outdoor,179.16,1,0.05,170.2,51.55,0.3029,UPI,2022,9,Q3,Low (1-10%)
ORD-100145,2022-10-30,2022-11-02,Overnight,CUST-18213,Consumer,East,Sports & Outdoor,95.15,2,0.2,152.24,32.06,0.2106,COD,2022,10,Q4,Medium (11-20%)
ORD-100146,2022-12-24,2022-12-31,Standard,CUST-20609,Consumer,West,Electronics,1522.93,4,0.37,3837.78,38.38,0.01,Net Banking,2022,12,Q4,Very High (31%+)
ORD-100147,2022-02-02,2022-02-05,Express,CUST-24689,Corporate,North,Electronics,862.18,1,0.19,698.37,35.95,0.0515,Net Banking,2022,2,Q1,Medium (11-20%)
ORD-100148,2024-01-12,2024-01-15,Overnight,CUST-27086,Corporate,North,Home & Furniture,266.25,1,0.23,205.01,45.89,0.2238,Credit Card,2024,1,Q1,High (21-30%)
ORD-100149,2023-09-10,2023-09-17,Standard,CUST-13537,Consumer,West,Home & Furniture,285.89,8,0.2,1829.7,291.5,0.1593,Debit Card,2023,9,Q3,Medium (11-20%)
